date,amount,result
20100428,"25,028,040",8 7 1
20100429,"24,965,004",3 7 7
20100430,"23,286,024",3 4 2
20100501,"20,318,956",1 3 0
20100502,"21,037,876",2 2 1
20100503,"21,441,054",5 0 3
20100504,"22,966,398",5 6 5
20100505,"23,214,590",9 6 8
20100506,"23,661,858",3 3 2
20100507,"23,532,856",2 1 9
20100508,"22,550,224",8 2 9
20100509,"22,184,990",8 3 2
20100510,"23,017,554",2 6 1
20100511,"23,412,798",4 7 3
20100512,"23,686,308",4 8 8
20100513,"23,298,680",4 8 3
20100514,"23,528,360",2 7 7
20100515,"22,425,928",9 1 3
20100516,"23,070,696",1 0 1
20100517,"21,721,244",3 9 5
20100518,"22,687,740",3 3 6
20100519,"22,353,620",5 4 5
20100520,"22,428,076",3 4 3
20100521,"23,041,508",3 5 8
20100522,"22,220,738",4 0 9
20100523,"21,937,484",9 2 6
20100524,"22,833,206",7 7 6
20100525,"22,282,598",7 2 8
20100526,"22,712,358",0 4 5
20100527,"23,172,758",6 3 4
20100528,"24,336,380",8 3 1
20100529,"23,348,286",2 6 1
20100530,"23,267,430",3 7 0
20100531,"24,682,930",8 6 6
20100601,"22,705,466",9 3 4
20100602,"24,457,766",8 1 4
20100603,"25,024,588",0 0 6
20100604,"23,530,642",2 7 8
20100605,"23,913,792",9 6 4
20100606,"24,122,762",1 0 1
20100607,"23,096,954",3 0 9
20100608,"23,904,610",9 9 7
20100609,"22,988,686",0 0 6
20100610,"23,315,968",0 6 9
20100611,"24,073,132",3 3 1
20100612,"23,671,660",1 3 8
20100613,"23,851,112",7 0 8
20100614,"23,337,886",4 8 0
20100615,"22,802,146",6 4 4
20100616,"22,561,372",8 7 8
20100617,"23,260,938",6 3 7
20100618,"24,193,150",0 1 3
20100619,"23,005,642",1 3 4
20100620,"23,416,208",6 8 4
20100621,"23,881,574",8 4 2
20100622,"24,239,668",7 8 6
20100623,"23,801,954",0 9 4
20100624,"24,603,052",6 7 7
20100625,"23,928,332",8 4 4
20100626,"23,367,332",7 3 9
20100627,"23,468,666",8 0 8
20100628,"23,682,410",2 3 9
20100629,"23,955,014",4 0 6
20100630,"24,142,918",8 4 1
20100701,"24,126,542",5 6 9
20100702,"22,656,832",7 7 0
20100703,"21,512,304",1 9 4
20100704,"21,806,536",3 5 6
20100705,"22,404,482",5 1 9
20100706,"22,479,706",0 8 8
20100707,"22,490,894",8 0 6
20100708,"22,945,276",9 4 7
20100709,"23,821,000",3 3 7
20100710,"22,561,802",8 2 0
20100711,"22,684,594",1 3 5
20100712,"22,254,642",2 8 4
20100713,"23,692,952",4 1 5
20100714,"23,415,358",6 8 1
20100715,"24,021,818",9 1 8
20100716,"24,347,350",7 5 7
20100717,"22,694,182",3 5 3
20100718,"20,454,310",6 1 3
20100719,"21,258,962",1 1 1
20100720,"19,083,348",1 4 8
20100721,"21,037,610",8 0 4
20100722,"21,745,286",0 5 2
20100723,"21,480,874",7 7 8
20100724,"19,763,428",4 6 6
20100725,"20,442,012",9 8 8
20100726,"20,810,212",2 0 6
20100727,"21,369,992",1 8 0
20100728,"21,657,210",0 5 3
20100729,"21,121,716",1 0 6
20100730,"21,595,720",0 3 6
20100731,"20,355,284",0 4 7
20100801,"20,473,588",3 5 3
20100802,"20,412,920",8 2 8
20100803,"20,655,856",4 6 7
20100804,"21,116,570",0 8 1
20100805,"21,549,392",8 0 9
20100806,"21,696,148",9 3 2
20100807,"20,671,784",7 8 5
20100808,"20,377,618",3 9 1
20100809,"21,829,668",1 2 4
20100810,"21,939,266",6 6 7
20100811,"20,840,230",8 2 4
20100812,"22,153,876",8 9 3
20100813,"22,660,494",2 4 5
20100814,"21,861,064",6 8 5
20100815,"21,654,302",2 9 5
20100816,"22,424,754",6 8 3
20100817,"23,258,354",1 4 0
20100818,"23,367,334",5 7 4
20100819,"24,028,160",6 7 4
20100820,"24,771,910",9 9 7
20100821,"20,366,234",5 0 4
20100822,"20,690,634",2 3 9
20100823,"22,382,576",9 4 7
20100824,"23,148,084",6 7 6
20100825,"21,851,282",8 5 4
20100826,"22,820,192",0 6 6
20100827,"22,657,642",1 9 5
20100828,"21,300,342",5 3 4
20100829,"21,519,380",3 7 9
20100830,"23,454,920",3 0 0
20100831,"21,443,258",1 7 3
20100901,"22,212,232",9 0 3
20100902,"22,115,876",6 8 7
20100903,"22,906,800",4 1 4
20100904,"21,863,980",3 3 1
20100905,"21,214,774",2 5 1
20100906,"21,895,112",0 9 5
20100907,"22,530,406",4 8 8
20100908,"22,981,432",4 8 2
20100909,"22,429,624",4 8 4
20100910,"21,872,318",5 3 0
20100911,"21,275,302",8 8 5
20100912,"20,996,542",2 0 4
20100913,"21,780,200",6 9 5
20100914,"22,120,988",0 8 2
20100915,"22,703,972",6 9 8
20100916,"22,242,884",2 9 9
20100917,"22,274,296",6 7 5
20100918,"20,806,680",3 5 8
20100919,"21,960,622",9 7 1
20100920,"22,347,818",1 7 9
20100921,"21,385,608",9 6 9
20100922,"18,713,420",9 5 8
20100923,"20,345,338",2 4 3
20100924,"21,402,826",8 8 1
20100925,"21,332,878",3 3 3
20100926,"20,320,482",1 8 5
20100927,"22,840,504",4 2 5
20100928,"22,721,228",4 4 5
20100929,"22,060,666",8 4 6
20100930,"21,971,648",2 3 5
20101001,"21,144,054",7 0 3
20101002,"19,325,944",5 9 3
20101003,"19,737,084",1 6 3
20101004,"19,853,546",1 1 7
20101005,"19,427,868",5 2 1、
20101006,"20,436,044",6 7 0
20101007,"21,178,880",7 7 2
20101008,"21,616,994",4 1 1
20101009,"20,994,758",6 8 0
20101010,"21,578,232",2 8 0
20101011,"22,373,500",6 2 3
20101012,"22,703,880",1 8 8
20101013,"22,044,674",6 8 5
20101014,"22,861,552",1 5 2
20101015,"23,005,392",2 7 3
20101016,"22,619,020",5 3 8
20101017,"22,816,698",0 4 7
20101018,"24,275,674",2 1 0
20101019,"23,716,960",7 4 7
20101020,"22,924,418",9 6 0
20101021,"21,562,348",1 6 7
20101022,"22,667,300",4 6 0
20101023,"20,688,148",1 3 4
20101024,"21,024,344",3 9 9
20101025,"20,565,518",1 5 0
20101026,"20,625,670",1 2 2
20101027,"19,813,990",1 2 9
20101028,"20,017,710",0 4 0
20101029,"20,231,206",2 3 8
20101030,"20,583,766",4 4 8
20101031,"20,768,914",5 2 0
20101101,"21,480,478",7 8 6
20101102,"20,814,604",2 2 5
20101103,"21,173,620",5 9 6
20101104,"21,874,920",3 5 6
20101105,"22,430,982",0 9 1
20101106,"21,108,830",0 7 0
20101107,"20,006,840",3 3 2
20101108,"21,365,438",9 3 7
20101109,"21,368,238",4 0 5
20101110,"21,573,620",2 1 9
20101111,"22,544,182",2 3 2
20101112,"22,180,236",0 2 6
20101113,"21,501,740",3 8 7
20101114,"21,376,358",5 9 8
20101115,"23,197,674",1 3 8
20101116,"23,246,662",8 7 8
20101117,"21,077,708",6 7 5
20101118,"22,224,890",0 5 5
20101119,"22,279,334",3 2 9
20101120,"23,077,036",1 8 2
20101121,"22,817,036",4 5 4
20101122,"23,227,312",7 3 3
20101123,"22,874,182",2 8 3
20101124,"23,779,432",0 2 7
20101125,"24,669,948",8 4 0
20101126,"25,630,238",4 7 4
20101127,"22,677,918",1 2 7
20101128,"23,383,406",8 4 6
20101129,"23,982,448",1 5 9
20101130,"24,762,706",3 7 6
20101201,"25,551,818",8 5 3
20101202,"25,519,586",3 6 6
20101203,"23,760,122",6 8 1
20101204,"22,847,110",4 4 3
20101205,"22,352,808",4 2 4
20101206,"22,971,848",8 6 7
20101207,"22,408,468",3 5 4
20101208,"23,441,460",6 5 5
20101209,"23,391,360",8 7 8
20101210,"24,055,644",8 9 5
20101211,"22,584,592",7 5 4
20101212,"22,736,234",5 9 9
20101213,"23,191,474",0 9 4
20101214,"22,861,740",9 4 3
20101215,"22,445,388",3 7 6
20101216,"23,717,262",1 6 8
20101217,"25,621,314",3 3 2
20101218,"23,349,376",7 4 1
20101219,"24,274,568",3 8 3
20101220,"25,528,724",3 2 2
20101221,"24,625,498",4 8 4
20101222,"25,341,040",6 7 0
20101223,"25,700,162",8 9 0
20101224,"24,219,292",5 7 2
20101225,"24,125,334",1 1 2
20101226,"22,881,368",1 6 9
20101227,"24,177,356",1 6 7
20101228,"24,232,446",5 4 5
20101229,"24,218,848",8 6 8
20101230,"24,121,438",1 7 1
20101231,"24,140,690",3 1 1
20110101,"20,935,310",9 2 8
20110102,"21,486,244",6 7 6
20110103,"22,662,668",9 3 3
20110104,"23,722,324",5 5 0
20110105,"24,104,994",4 9 1
20110106,"24,905,140",3 5 9
20110107,"25,917,546",8 8 4
20110108,"24,509,686",5 3 4
20110109,"24,055,378",1 5 6
20110110,"24,405,338",9 1 7
20110111,"24,996,818",5 0 2
20110112,"24,126,230",6 8 7
20110113,"24,700,528",1 8 7
20110114,"24,878,384",8 1 0
20110115,"24,419,454",7 1 7
20110116,"22,235,370",8 1 6
20110117,"23,757,358",1 8 4
20110118,"23,942,444",9 0 3
20110119,"23,696,272",3 2 8
20110120,"24,078,746",5 7 8
20110121,"25,134,586",5 7 8
20110122,"22,432,294",0 0 8
20110123,"21,508,550",7 4 1
20110124,"23,461,808",4 8 7
20110125,"24,405,208",3 5 2
20110126,"25,028,312",7 9 7
20110127,"23,854,128",2 1 2
20110128,"22,216,792",1 3 4
20110129,"22,208,564",3 6 5
20110130,"22,277,254",4 9 3
20110131,"22,036,488",8 6 4
20110201,"20,034,224",3 4 9
20110209,"17,105,178",0 6 2
20110210,"18,421,374",4 8 9
20110211,"20,996,962",7 4 4
20110212,"20,061,294",1 6 3
20110213,"20,580,422",7 0 5
20110214,"21,403,248",0 1 6
20110215,"21,624,620",2 6 0
20110216,"21,893,158",1 1 7
20110217,"21,143,780",4 4 9
20110218,"22,162,710",3 3 7
20110219,"21,934,626",2 8 6
20110220,"22,623,462",4 1 6
20110221,"22,388,882",5 7 9
20110222,"23,103,734",9 0 9
20110223,"22,086,964",3 6 7
20110224,"23,713,722",6 2 1
20110225,"24,276,772",4 5 9
20110226,"23,845,952",0 6 7
20110227,"23,968,970",6 8 4
20110228,"24,685,654",5 0 9
20110301,"25,075,382",8 3 5
20110302,"25,994,778",7 6 0
20110303,"27,164,792",8 3 5
20110304,"27,422,050",6 0 9
20110305,"27,936,976",3 6 6
20110306,"24,177,906",6 6 4
20110307,"24,861,204",3 9 8
20110308,"24,879,250",1 4 4
20110309,"24,537,192",4 1 6
20110310,"25,911,882",6 2 8
20110311,"26,413,596",1 4 1
20110312,"23,592,900",6 9 0
20110313,"24,186,968",7 2 1
20110314,"25,085,870",0 7 9
20110315,"24,666,518",4 1 3
20110316,"26,157,626",5 0 0
20110317,"24,610,784",2 8 5
20110318,"25,558,686",8 9 2
20110319,"24,954,548",0 7 1
20110320,"24,730,830",7 9 9
20110321,"24,108,526",0 6 3
20110322,"25,500,524",7 8 4
20110323,"25,304,092",9 5 3
20110324,"26,087,968",6 6 7
20110325,"26,001,708",7 8 7
20110326,"23,768,814",5 4 4
20110327,"24,237,574",8 2 3
20110328,"25,809,404",9 4 3
20110329,"25,886,194",7 4 8
20110330,"26,443,126",1 7 1
20110331,"26,411,724",8 3 5
20110401,"27,008,878",2 5 2
20110402,"25,742,812",9 9 5
20110403,"24,198,984",9 4 1
20110404,"23,645,186",0 9 2
20110405,"23,090,788",6 7 0
20110406,"25,095,922",1 2 4
20110407,"25,254,888",0 8 7
20110408,"25,587,050",2 2 2
20110409,"22,253,096",7 4 9
20110410,"24,179,202",5 0 0
20110411,"24,064,418",1 5 9
20110412,"24,724,726",8 4 4
20110413,"25,353,432",0 9 7
20110414,"25,530,510",6 7 9
20110415,"26,323,876",1 8 7
20110416,"24,720,528",8 2 9
20110417,"25,244,026",2 3 2
20110418,"24,592,462",2 7 5
20110419,"25,085,702",9 0 9
20110420,"24,512,262",4 7 2
20110421,"25,717,052",5 8 9
20110422,"26,495,450",7 0 0
20110423,"23,878,302",6 5 0
20110424,"23,766,478",9 2 4
20110425,"25,253,042",3 3 0
20110426,"23,678,428",2 2 2
20110427,"22,193,850",3 5 1
20110428,"24,623,612",2 5 2
20110429,"24,002,272",0 9 8
20110430,"23,268,146",7 3 3
20110501,"22,570,904",3 9 8
20110502,"23,652,258",3 7 5
20110503,"24,453,736",7 4 0
20110504,"25,240,778",7 0 4
20110505,"25,537,414",0 7 5
20110506,"25,019,558",2 9 5
20110507,"24,084,676",9 8 3
20110508,"25,046,262",6 4 9
20110509,"26,785,208",0 3 3
20110510,"24,687,580",5 3 5
20110511,"25,211,636",7 7 4
20110512,"26,808,736",3 2 7
20110513,"24,515,826",2 9 9
20110514,"23,999,690",5 4 3
20110515,"23,513,154",7 3 3
20110516,"23,751,004",4 2 0
20110517,"23,658,078",0 5 9
20110518,"24,439,172",2 3 3
20110519,"24,475,726",6 5 2
20110520,"25,772,608",4 8 7
20110521,"24,046,758",4 1 9
20110522,"23,981,280",4 3 7
20110523,"24,877,066",3 9 6
20110524,"23,936,186",2 4 3
20110525,"24,026,124",9 0 7
20110526,"25,980,224",5 3 8
20110527,"26,275,626",8 0 7
20110528,"25,898,562",6 3 9
20110529,"27,070,990",8 8 9
20110530,"22,543,246",0 5 2
