date,amount,result
2012 年11 月06 日,-1,4 1 9
2012 年11 月07 日,"19,265,004",7 2 1
2012 年11 月08 日,-1,3 3 7
2012 年11 月09 日,"19,522,536",6 8 7
2012 年11 月10 日,"17,790,438",2 9 9
2012 年11 月11 日,-1,2 8 7
2012 年11 月12 日,"18,658,232",6 4 4
2012 年11 月13 日,-1,6 4 4
2012 年11 月14 日,"17,342,138",0 5 6
2012 年11 月15 日,-1,1 3 8
2012 年11 月16 日,-1,6 2 4
2012 年11 月17 日,"17,345,024",0 0 7
2012 年11 月18 日,-1,7 0 8
2012 年11 月19 日,"17,321,542",1 7 7
2012 年11 月20 日,-1,8 3 6
2012 年11 月21 日,"18,577,274",0 5 1
2012 年11 月22 日,-1,0 0 9
2012 年11 月23 日,-1,1 3 3
2012 年11 月24 日,"17,181,690",1 7 6
2012 年11 月25 日,-1,8 9 9
2012 年11 月26 日,"17,292,112",8 8 8
2012 年11 月27 日,"16,208,558",1 0 4
2012 年11 月28 日,"17,704,158",8 9 6
2012 年11 月29 日,"18,464,550",4 4 6
2012 年11 月30 日,"18,782,108",8 1 4
2012 年12 月01 日,"17,598,908",6 1 1
2012 年12 月02 日,"17,754,632",2 1 9
2012 年12 月03 日,"18,660,166",0 8 9
2012 年12 月04 日,-1,8 2 2
2012 年12 月05 日,"17,134,854",0 2 5
2012 年12 月06 日,-1,5 2 4
2012 年12 月07 日,-1,8 9 3
2012 年12 月08 日,"17,144,258",5 5 7
2012 年12 月09 日,-1,4 6 2
2012 年12 月10 日,"17,792,780",3 3 1
2012 年12 月11 日,"17,762,080",2 7 4
2012 年12 月12 日,"18,296,762",6 5 4
2012 年12 月13 日,"18,112,402",4 7 2
2012 年12 月14 日,-1,4 9 2
2012 年12 月15 日,"17,371,526",7 2 2
2012 年12 月16 日,"17,343,848",4 8 8
2012 年12 月17 日,-1,3 9 0
2012 年12 月18 日,-1,4 3 7
2012 年12 月19 日,"17,730,704",4 1 9
2012 年12 月20 日,-1,8 2 1
2012 年12 月21 日,-1,0 4 1
2012 年12 月22 日,"17,755,484",8 9 6
2012 年12 月23 日,-1,9 9 2
