date,amount,result
20120617,"19,145,012",2 4 3
20120618,"19,612,202",6 9 3
20120619,"19,456,092",7 1 8
20120620,"20,102,772",0 4 6
20120621,"19,851,586",8 6 2
20120622,"19,882,378",2 8 9
20120623,"19,662,562",6 5 1
20120624,"20,199,758",7 2 0
20120625,"21,275,428",7 8 8
20120626,"19,370,974",7 3 5
20120627,"19,411,658",4 3 7
20120628,"19,693,550",5 9 7
20120629,"20,240,082",2 1 8
20120630,"19,332,398",0 5 8
20120701,"19,077,504",4 0 0
20120702,"18,465,210",0 1 8
20120703,"18,765,542",3 5 7
20120704,"19,107,056",1 4 5
20120705,"18,967,322",9 9 0
20120706,"19,271,292",6 9 3
20120707,"18,010,588",4 5 6
20120708,"18,641,072",7 9 5
20120709,"19,287,548",1 6 9
20120710,"18,787,586",4 6 0
20120711,"19,500,104",6 7 3
20120712,"19,616,546",9 6 2
20120713,"19,936,078",6 3 8
20120714,"19,193,576",4 1 8
20120715,"19,410,658",3 1 3
20120716,"18,489,468",5 8 4
20120717,"18,616,546",5 7 6
20120718,"19,103,912",2 6 9
20120719,"19,713,752",1 5 9
20120720,"20,003,048",2 1 3
20120721,"18,128,220",9 9 3
20120722,"17,759,388",5 4 6
20120723,"19,035,568",1 1 2
20120724,"18,133,960",8 4 9
20120725,"19,045,584",2 8 2
20120726,"18,404,578",7 9 0
20120727,"19,609,244",1 0 2
20120728,"17,604,220",1 7 6
20120729,"17,354,978",3 6 1
20120730,"18,616,406",9 7 8
20120731,"18,258,440",6 0 8
20120801,"18,947,594",7 9 0
20120802,"19,334,034",7 5 7
20120803,"19,107,954",2 2 7
20120804,"17,778,596",5 7 4
20120805,"17,947,820",4 2 7
20120806,"18,542,958",1 4 4
20120807,"18,455,310",6 8 1
20120808,"18,498,998",3 2 1
20120809,"19,139,392",0 3 8
20120810,"20,063,520",7 7 5
20120811,"18,304,158",8 7 1
20120812,"18,580,972",1 7 0
20120813,"18,638,406",9 3 5
20120814,"18,704,222",0 9 9
20120815,"18,131,010",3 3 5
20120816,"18,610,794",2 4 0
20120817,"19,346,528",3 6 0
20120818,"18,298,488",5 4 0
20120819,"17,493,638",4 5 3
20120820,"18,576,642",0 1 0
20120821,"16,980,582",7 2 1
20120822,"18,227,754",0 8 1
20120823,"18,143,864",4 6 1
20120824,"19,182,696",6 4 4
20120825,"18,492,652",7 6 3
20120826,"18,263,458",1 4 7
20120827,"19,488,622",2 5 0
20120828,"19,829,204",6 1 1
20120829,"19,111,824",4 6 0
20120830,"19,591,526",9 2 9
20120831,"19,223,376",0 4 9
20120901,"18,532,010",0 9 7
20120902,"18,534,334",0 7 1
20120903,"19,499,472",0 6 3
20120904,"20,114,478",5 0 2
20120905,"20,730,986",9 6 8
20120906,"20,571,962",1 4 5
20120907,"21,908,956",4 5 3
20120908,"21,431,170",2 3 2
20120909,"17,895,920",5 7 1
20120910,"19,110,828",1 1 4
20120911,"18,252,522",9 4 0
20120912,"19,461,038",5 7 5
20120913,"18,800,290",9 9 9
20120914,"17,661,286",1 0 8
20120915,"17,636,520",8 9 2
20120916,"17,846,400",8 9 3
20120917,"18,639,558",6 7 9
20120918,"19,231,058",4 0 4
20120919,"18,589,636",0 9 2
20120920,"18,777,498",3 5 5
20120921,"19,356,076",7 9 4
20120922,"19,096,340",0 8 1
20120923,"18,928,582",4 5 7
20120924,"20,024,238",6 8 6
20120925,"18,519,520",5 0 6
20120926,"18,348,174",4 3 6
20120927,"18,675,454",0 9 2
20120928,"19,751,084",8 6 5
20120929,"18,758,480",1 0 0
20120930,"14,666,424",4 4 6
20121001,"15,107,380",6 3 0
20121002,"16,175,734",1 5 3
20121003,"16,429,494",5 2 1
20121004,"16,764,306",6 5 6
20121005,"17,442,150",9 7 3
20121006,"17,527,246",7 0 6
20121007,"17,614,362",5 6 7
20121008,"18,393,904",3 6 1
20121009,"18,826,300",1 7 9
20121010,"19,614,970",9 1 1
20121011,"19,147,124",6 6 3
20121012,"18,902,520",9 5 4
20121013,"17,794,044",0 6 3
20121014,"18,503,902",0 9 6
20121015,"18,684,858",0 1 0
20121016,"17,652,422",1 5 4
20121017,"18,655,492",5 6 0
20121018,"19,394,850",6 0 5
20121019,"19,271,384",0 4 4
20121020,"17,996,060",2 3 1
20121021,"17,740,390",5 7 6
20121022,"18,948,580",8 8 4
20121023,"18,048,896",9 7 4
20121024,"18,247,606",0 2 1
20121025,"18,592,978",2 0 3
20121026,"18,247,964",0 8 6
20121027,"17,067,596",1 3 7
20121028,"17,585,122",2 9 5
20121029,"17,968,214",4 8 9
20121030,"18,695,808",8 1 4
20121031,"18,959,910",8 3 3
20121101,"17,932,594",0 8 7
20121102,"18,379,826",9 5 4
20121103,"17,299,940",5 7 9
20121104,"17,991,018",3 4 3
20121105,"18,695,904",5 8 5
