date,amount,result
2014 年06 月17 日,"14,666,668",9 2 8
2014 年06 月18 日,"14,949,458",5 5 0
2014 年06 月19 日,"15,035,574",7 2 9
2014 年06 月20 日,"16,187,206",3 0 2
2014 年06 月21 日,"15,222,228",9 9 3
2014 年06 月22 日,"14,294,964",1 5 2
2014 年06 月23 日,"15,616,708",0 9 9
2014 年06 月24 日,"14,941,226",7 6 5
2014 年06 月25 日,"15,089,428",1 9 8
2014 年06 月26 日,"15,258,670",1 0 4
2014 年06 月27 日,"15,523,230",2 5 7
2014 年06 月28 日,"14,520,362",6 3 0
2014 年06 月29 日,"15,024,322",9 5 9
2014 年06 月30 日,"14,821,026",8 8 8
2014 年07 月01 日,"13,407,950",4 0 9
2014 年07 月02 日,"14,514,010",6 9 1
2014 年07 月03 日,"14,658,072",0 3 4
2014 年07 月04 日,"14,963,976",5 8 0
2014 年07 月05 日,"14,268,584",9 0 9
2014 年07 月06 日,"14,626,810",2 6 4
2014 年07 月07 日,"15,109,718",7 5 9
2014 年07 月08 日,"15,323,478",7 2 7
2014 年07 月09 日,"14,710,408",7 5 3
2014 年07 月10 日,"14,941,218",7 7 4
2014 年07 月11 日,"14,827,636",5 2 3
2014 年07 月12 日,"13,987,062",4 5 2
2014 年07 月13 日,"14,147,568",6 0 5
2014 年07 月14 日,"14,674,594",3 2 6
2014 年07 月15 日,"14,750,542",3 0 2
2014 年07 月16 日,"14,769,708",5 5 0
2014 年07 月17 日,"14,591,692",5 3 7
2014 年07 月18 日,"15,285,404",7 5 7
2014 年07 月19 日,"14,496,332",5 3 9
2014 年07 月20 日,"14,449,566",5 1 3
2014 年07 月21 日,"14,745,994",0 4 6
2014 年07 月22 日,"14,690,744",8 4 0
2014 年07 月23 日,"14,587,846",4 6 0
2014 年07 月24 日,"15,249,922",9 7 4
2014 年07 月25 日,"15,208,732",8 9 3
2014 年07 月26 日,"14,179,780",2 5 1
2014 年07 月27 日,"14,262,264",0 2 5
2014 年07 月28 日,"14,916,874",8 3 4
2014 年07 月29 日,"14,624,758",4 7 5
2014 年07 月30 日,"15,370,534",4 1 1
2014 年07 月31 日,"14,201,358",5 6 4
2014 年08 月01 日,"14,739,312",9 0 7
2014 年08 月02 日,"14,557,586",9 0 6
2014 年08 月03 日,"14,005,320",1 4 7
2014 年08 月04 日,"14,483,866",7 7 8
2014 年08 月05 日,"13,659,104",7 1 2
2014 年08 月06 日,"14,277,178",4 0 5
2014 年08 月07 日,"14,826,202",2 0 5
2014 年08 月08 日,"15,116,914",0 5 6
2014 年08 月09 日,"14,274,666",7 7 5
2014 年08 月10 日,"14,198,140",2 1 4
2014 年08 月11 日,"15,260,976",6 0 9
2014 年08 月12 日,"15,424,196",0 3 3
2014 年08 月13 日,"14,934,918",1 3 7
2014 年08 月14 日,"15,288,332",8 0 8
2014 年08 月15 日,"15,447,318",2 9 5
2014 年08 月16 日,"14,540,292",4 4 9
2014 年08 月17 日,"14,695,956",2 7 2
2014 年08 月18 日,"14,881,314",5 0 4
2014 年08 月19 日,"15,181,746",8 0 4
2014 年08 月20 日,"15,340,704",6 9 6
2014 年08 月21 日,"15,221,172",7 9 2
