date,amount,result
2013 年12 月23 日,"18,048,982",0 5 2
2013 年12 月24 日,"17,910,294",2 1 1
2013 年12 月25 日,"17,312,224",4 5 4
2013 年12 月26 日,"18,073,012",5 8 9
2013 年12 月27 日,"18,534,394",9 9 7
2013 年12 月28 日,"17,605,918",0 3 0
2013 年12 月29 日,"17,010,992",8 0 0
2013 年12 月30 日,"17,338,316",1 5 4
2013 年12 月31 日,"18,579,312",9 8 8
2014 年01 月01 日,"16,870,248",9 6 3
2014 年01 月02 日,"17,978,914",3 7 5
2014 年01 月03 日,"19,133,518",6 1 2
2014 年01 月04 日,"18,206,254",9 2 9
2014 年01 月05 日,"18,073,892",1 2 1
2014 年01 月06 日,"17,278,378",3 4 4
2014 年01 月07 日,"17,821,562",4 2 4
2014 年01 月08 日,"17,522,218",1 3 4
2014 年01 月09 日,"17,483,012",6 1 8
2014 年01 月10 日,"18,378,102",4 1 6
2014 年01 月11 日,"17,353,442",5 3 7
2014 年01 月12 日,"17,574,910",9 0 2
2014 年01 月13 日,"18,089,098",6 0 0
