date,amount,result
2013 年05 月26 日,"15,930,570",0 3 2
2013 年05 月27 日,"16,594,294",8 5 7
2013 年05 月28 日,"16,531,480",4 6 2
2013 年05 月29 日,"17,676,004",9 1 4
2013 年05 月30 日,"17,466,392",8 6 2
2013 年05 月31 日,"18,512,930",1 5 2
2013 年06 月01 日,"16,594,862",2 8 0
2013 年06 月02 日,"17,327,850",7 2 1
2013 年06 月03 日,"17,378,806",6 2 2
2013 年06 月04 日,"16,758,412",8 0 3
2013 年06 月05 日,"17,106,698",9 3 6
2013 年06 月06 日,"16,964,428",0 3 6
2013 年06 月07 日,"17,243,708",8 7 6
2013 年06 月08 日,"16,492,988",4 3 8
2013 年06 月09 日,"16,662,118",2 7 0
2013 年06 月10 日,"16,721,774",9 5 4
2013 年06 月11 日,"16,460,042",0 9 6
2013 年06 月12 日,"16,610,752",1 2 8
2013 年06 月13 日,"17,977,092",5 8 8
2013 年06 月14 日,"17,283,834",4 7 0
2013 年06 月15 日,"17,080,310",5 5 4
2013 年06 月16 日,"16,569,188",0 3 6
2013 年06 月17 日,"17,627,540",1 3 3
2013 年06 月18 日,"16,645,198",1 9 9
2013 年06 月19 日,"16,600,092",1 4 2
2013 年06 月20 日,"16,798,456",9 5 1
2013 年06 月21 日,"17,316,088",5 8 1
2013 年06 月22 日,"16,246,274",4 4 4
2013 年06 月23 日,"15,227,294",3 4 1
2013 年06 月24 日,"15,832,602",8 4 4
2013 年06 月25 日,"15,904,008",2 7 3
2013 年06 月26 日,"16,259,628",4 7 8
2013 年06 月27 日,"16,616,112",0 2 7
2013 年06 月28 日,"17,219,600",2 1 9
2013 年06 月29 日,"16,648,926",3 8 4
2013 年06 月30 日,"16,870,524",2 6 1
2013 年07 月01 日,"17,169,272",6 5 2
2013 年07 月02 日,"16,149,464",6 4 1
2013 年07 月03 日,"16,642,566",3 9 6
2013 年07 月04 日,"17,311,396",6 2 4
2013 年07 月05 日,"17,952,316",5 1 1
2013 年07 月06 日,"16,094,358",6 6 9
2013 年07 月07 日,"16,071,226",1 5 3
2013 年07 月08 日,"16,409,438",6 5 8
2013 年07 月09 日,"16,327,618",4 5 2
2013 年07 月10 日,"17,236,744",8 2 9
2013 年07 月11 日,"17,471,854",2 8 6
2013 年07 月12 日,"17,975,694",5 9 2
2013 年07 月13 日,"16,848,922",2 6 6
2013 年07 月14 日,"16,744,226",6 5 4
2013 年07 月15 日,"17,574,318",2 9 5
2013 年07 月16 日,"16,474,332",1 5 7
2013 年07 月17 日,"15,978,292",4 7 3
2013 年07 月18 日,"16,922,072",5 5 6
2013 年07 月19 日,"16,934,072",7 7 5
2013 年07 月20 日,"15,721,258",5 0 8
2013 年07 月21 日,"15,438,830",5 0 0
2013 年07 月22 日,"15,103,820",6 6 6
2013 年07 月23 日,"14,822,264",2 8 0
2013 年07 月24 日,"15,899,808",5 5 3
2013 年07 月25 日,"16,048,840",6 6 1
2013 年07 月26 日,"15,999,482",4 6 8
2013 年07 月27 日,"15,307,700",2 2 8
2013 年07 月28 日,"14,993,906",1 3 7
2013 年07 月29 日,"15,158,556",0 3 1
2013 年07 月30 日,"14,572,264",4 9 9
2013 年07 月31 日,"14,885,428",8 4 3
2013 年08 月01 日,"15,574,014",1 7 3
2013 年08 月02 日,"16,073,206",9 5 9
2013 年08 月03 日,"14,828,140",4 2 1
2013 年08 月04 日,"15,085,626",5 6 2
2013 年08 月05 日,"16,207,970",5 3 9
2013 年08 月06 日,"15,889,586",7 3 4
2013 年08 月07 日,"16,141,246",1 4 3
2013 年08 月08 日,"16,201,758",3 3 8
2013 年08 月09 日,"16,082,108",7 7 9
2013 年08 月10 日,"14,853,528",5 4 1
2013 年08 月11 日,"15,643,940",0 0 5
2013 年08 月12 日,"15,223,714",8 9 8
2013 年08 月13 日,"15,058,772",1 4 7
2013 年08 月14 日,"16,312,916",5 2 7
2013 年08 月15 日,"16,847,530",3 0 0
2013 年08 月16 日,"16,167,626",6 0 9
2013 年08 月17 日,"15,431,544",6 0 5
2013 年08 月18 日,"14,966,190",5 7 1
2013 年08 月19 日,"16,208,860",0 0 0
2013 年08 月20 日,"13,975,868",9 5 2
2013 年08 月21 日,"15,160,572",0 8 3
2013 年08 月22 日,"15,917,836",5 5 9
2013 年08 月23 日,"16,511,924",7 5 6
2013 年08 月24 日,"15,105,764",2 9 0
2013 年08 月25 日,"15,299,416",4 5 2
2013 年08 月26 日,"16,008,014",0 5 9
2013 年08 月27 日,"16,262,614",6 4 7
2013 年08 月28 日,"16,489,720",4 2 2
2013 年08 月29 日,"16,379,942",5 6 5
2013 年08 月30 日,"16,726,694",9 0 9
2013 年08 月31 日,"15,949,758",5 5 7
2013 年09 月01 日,"15,915,474",6 8 2
2013 年09 月02 日,"16,803,412",6 9 5
2013 年09 月03 日,"16,974,806",6 9 2
2013 年09 月04 日,"16,753,526",7 5 1
2013 年09 月05 日,"17,253,054",8 6 6
2013 年09 月06 日,"17,154,050",5 1 1
2013 年09 月07 日,"16,018,270",4 8 1
2013 年09 月08 日,"16,446,866",6 4 2
2013 年09 月09 日,"17,157,702",3 0 4
2013 年09 月10 日,"16,491,934",2 7 4
2013 年09 月11 日,"17,310,386",6 7 3
2013 年09 月12 日,"17,464,486",4 7 7
2013 年09 月13 日,"16,687,230",6 9 0
2013 年09 月14 日,"15,927,656",7 1 4
2013 年09 月15 日,"16,285,568",6 5 9
2013 年09 月16 日,"16,527,162",9 7 8
2013 年09 月17 日,"16,030,528",6 8 7
2013 年09 月18 日,"15,966,452",8 3 8
2013 年09 月19 日,"14,272,304",0 1 5
2013 年09 月20 日,"15,175,916",2 8 6
2013 年09 月21 日,"15,915,584",6 2 7
2013 年09 月22 日,"16,037,518",9 3 0
2013 年09 月23 日,"16,085,856",0 4 4
2013 年09 月24 日,"16,374,820",8 5 4
2013 年09 月25 日,"16,216,938",5 6 3
2013 年09 月26 日,"17,454,390",4 3 3
2013 年09 月27 日,"16,954,782",5 2 1
2013 年09 月28 日,"16,481,282",0 3 5
2013 年09 月29 日,"16,415,600",8 2 1
2013 年09 月30 日,"16,305,692",9 2 6
2013 年10 月01 日,"14,507,094",9 1 5
2013 年10 月02 日,"14,902,082",8 3 1
2013 年10 月03 日,"15,091,184",3 0 5
2013 年10 月04 日,"16,044,026",2 5 3
2013 年10 月05 日,"16,134,634",7 9 1
2013 年10 月06 日,"15,993,570",6 9 0
2013 年10 月07 日,"16,793,436",4 1 8
2013 年10 月08 日,"18,322,262",6 9 5
2013 年10 月09 日,"18,728,162",1 6 5
2013 年10 月10 日,"17,919,122",8 4 5
2013 年10 月11 日,"19,014,422",4 5 3
2013 年10 月12 日,"18,735,962",3 9 3
2013 年10 月13 日,"16,371,288",9 0 0
2013 年10 月14 日,"15,997,384",5 7 5
2013 年10 月15 日,"16,165,124",9 9 7
2013 年10 月16 日,"16,246,200",9 0 1
2013 年10 月17 日,"16,531,614",3 1 4
2013 年10 月18 日,"17,555,110",8 5 4
2013 年10 月19 日,"17,043,652",5 7 1
2013 年10 月20 日,"17,561,186",2 4 7
2013 年10 月21 日,"17,841,206",9 0 9
2013 年10 月22 日,"17,097,832",9 2 6
2013 年10 月23 日,"17,510,288",6 0 7
2013 年10 月24 日,"17,304,048",6 6 3
2013 年10 月25 日,"16,935,274",5 5 6
2013 年10 月26 日,"16,132,780",9 4 9
2013 年10 月27 日,"16,142,420",4 2 1
2013 年10 月28 日,"17,059,368",7 3 2
2013 年10 月29 日,"17,058,950",8 2 0
2013 年10 月30 日,"16,948,428",5 5 7
2013 年10 月31 日,"17,234,772",3 8 9
2013 年11 月01 日,"17,503,434",3 3 7
2013 年11 月02 日,"16,403,908",0 8 7
2013 年11 月03 日,"16,436,364",1 9 2
2013 年11 月04 日,"17,222,484",3 7 6
2013 年11 月05 日,"17,463,994",3 1 6
2013 年11 月06 日,"17,216,896",8 2 0
2013 年11 月07 日,"17,650,204",0 1 4
2013 年11 月08 日,"17,525,118",2 3 8
2013 年11 月09 日,"17,214,664",1 2 0
2013 年11 月10 日,"16,631,840",5 9 8
2013 年11 月11 日,"17,342,866",2 5 7
2013 年11 月12 日,"17,589,588",3 0 8
2013 年11 月13 日,"17,904,912",8 7 3
2013 年11 月14 日,"18,262,440",6 9 4
2013 年11 月15 日,"19,386,576",4 6 9
2013 年11 月16 日,"18,154,366",7 1 3
2013 年11 月17 日,"19,100,904",7 0 0
2013 年11 月18 日,"17,103,422",4 9 7
2013 年11 月19 日,"17,841,088",8 3 2
2013 年11 月20 日,"18,554,068",4 5 5
2013 年11 月21 日,"18,202,104",7 8 0
2013 年11 月22 日,"18,671,246",9 1 8
2013 年11 月23 日,"17,858,118",3 8 8
2013 年11 月24 日,"16,929,174",8 0 0
2013 年11 月25 日,"17,532,394",1 5 7
2013 年11 月26 日,"17,990,956",5 2 5
2013 年11 月27 日,"17,801,094",1 6 9
2013 年11 月28 日,"18,037,090",7 7 5
2013 年11 月29 日,"18,789,298",3 3 1
2013 年11 月30 日,"17,130,182",7 7 5
2013 年12 月01 日,"17,220,770",9 0 1
2013 年12 月02 日,"18,627,072",3 5 8
2013 年12 月03 日,"19,210,916",8 9 3
2013 年12 月04 日,"19,990,912",1 8 9
2013 年12 月05 日,"20,906,322",7 2 6
2013 年12 月06 日,"20,976,518",6 6 5
2013 年12 月07 日,"19,146,898",4 3 9
2013 年12 月08 日,"19,237,488",8 5 2
2013 年12 月09 日,"20,109,714",1 6 6
2013 年12 月10 日,"20,098,642",3 2 6
2013 年12 月11 日,"19,651,016",5 4 9
2013 年12 月12 日,"20,251,660",9 5 8
2013 年12 月13 日,"21,216,942",4 1 4
2013 年12 月14 日,"18,587,138",1 5 6
2013 年12 月15 日,"18,592,324",2 5 4
2013 年12 月16 日,"18,831,970",6 6 1
2013 年12 月17 日,"18,159,176",1 1 0
2013 年12 月18 日,"17,055,088",0 6 7
2013 年12 月19 日,"17,770,856",7 6 7
2013 年12 月20 日,"17,410,080",7 9 7
2013 年12 月21 日,"16,300,752",5 6 6
2013 年12 月22 日,"16,590,808",8 3 3
