date,amount,result
2014年08月22日,"15,599,996",1 9 3
2014年08月23日,"14,849,004",3 2 6
2014年08月24日,"15,005,074",2 4 3
2014年08月25日,"15,810,082",4 7 4
2014年08月26日,"16,019,386",0 8 3
2014年08月27日,"16,586,666",4 6 3
2014年08月28日,"15,896,888",6 1 4
2014年8月29日,"17,173,584",9 2 1
2014年8月30日,"15,680,116",0 7 1
2014年8月31日,"15,697,650",7 4 8
2014年9月1日,"16,266,440",8 4 1
2014年9月2日,"16,434,358",6 8 5
2014年9月3日,"16,637,148",4 1 9
2014年9月4日,"16,443,598",7 2 4
2014年9月5日,"17,527,342",8 6 4
2014年9月6日,"16,330,482",8 5 8
2014年9月7日,"14,731,378",2 4 5
2014年9月8日,"14,862,696",7 9 9
2014年9月9日,"15,604,188",3 0 2
2014年9月10日,"16,162,850",6 1 9
2014年9月11日,"16,134,828",2 2 2
2014年9月12日,"14,966,884",2 2 9
2014年9月13日,"14,102,926",4 4 1
2014年9月14日,"14,957,310",8 1 0
2014年9月15日,"15,246,252",1 7 7
2014年9月16日,"15,184,016",4 2 1
2014年9月17日,"15,608,014",5 5 7
2014年9月18日,"15,843,724",4 4 1
2014年9月19日,"16,605,120",9 2 4
2014年9月20日,"15,630,150",6 9 1
2014年9月21日,"15,647,066",7 7 1
2014年9月22日,"16,174,276",6 6 6
2014年9月23日,"14,665,784",4 5 2
2014年9月24日,"15,574,656",1 1 0
2014年9月25日,"14,759,022",3 6 6
2014年9月26日,"15,367,902",4 1 2
2014年9月27日,"15,552,198",2 1 9
2014年9月28日,"15,642,130",8 5 7
2014年9月29日,"15,478,644",1 0 7
2014年9月30日,"15,113,134",4 5 9
2014年10月1日,"13,791,774",5 0 6
2014年10月2日,"14,006,912",1 4 9
2014年10月3日,"14,339,894",7 4 0
2014年10月4日,"14,020,424",0 3 2
2014年10月5日,"13,957,072",6 5 8
2014年10月6日,"14,140,840",7 7 0
2014年10月7日,"14,469,322",4 1 7
2014年10月8日,"15,283,850",5 8 5
2014年10月9日,"15,986,090",4 7 5
2014年10月10日,"16,662,346",2 8 6
2014年10月11日,"15,310,552",4 9 7
2014年10月12日,"14,746,684",5 1 3
2014年10月13日,"15,425,242",7 3 9
2014年10月14日,"15,463,516",5 9 2
2014年10月15日,"15,851,362",1 3 1
2014年10月16日,"15,364,044",7 9 4
2014年10月17日,"16,445,014",5 9 0
2014年10月18日,"14,773,534",3 4 3
2014年10月19日,"14,302,120",0 1 8
2014年10月20日,"14,881,114",8 2 6
2014年10月21日,"15,527,914",9 8 8
2014年10月22日,"14,595,826",2 7 5
2014年10月23日,"15,631,810",2 4 5
2014年10月24日,"16,351,580",0 4 8
2014年10月25日,"15,001,826",4 3 3
2014年10月26日,"14,779,620",4 8 8
2014年10月27日,"15,078,748",8 4 1
2014年10月28日,"15,343,620",3 5 9
2014年10月29日,"15,552,672",8 1 5
2014年10月30日,"16,252,464",7 9 4
2014年10月31日,"16,907,792",3 9 9
2014年11月1日,"14,911,728",8 8 8
2014年11月2日,"13,937,762",2 8 0
2014年11月3日,"15,467,460",5 3 2
2014年11月4日,"15,891,462",2 9 0
2014年11月5日,"16,123,084",5 2 4
2014年11月6日,"16,592,264",8 6 2
2014年11月7日,"16,990,870",0 7 8
2014年11月8日,"15,668,668",7 5 0
2014年11月9日,"16,125,810",0 0 4
2014年11月10日,"15,510,188",1 3 1
2014年11月11日,"15,358,032",2 9 6
2014年11月12日,"15,975,390",1 8 0
2014年11月13日,"16,674,492",3 8 2
2014年11月14日,"17,131,494",4 8 9
2014年11月15日,"15,786,614",2 9 6
2014年11月16日,"16,414,048",3 7 7
2014年11月17日,"16,169,734",4 0 2
2014年11月18日,"15,734,516",7 9 5
2014年11月19日,"16,461,974",1 5 3
2014年11月20日,"16,802,834",3 7 1
2014年11月21日,"17,604,012",0 5 9
2014年11月22日,"16,036,854",5 9 4
2014年11月23日,"16,405,734",6 9 6
2014年11月24日,"15,890,180",2 3 6
2014年11月25日,"16,207,804",6 5 2
2014年11月26日,"16,643,292",9 6 9
2014年11月27日,"15,828,966",8 2 6
2014年11月28日,"17,002,422",5 8 9
2014年11月29日,"15,678,800",0 3 7
2014年11月30日,"15,991,170",8 8 1
2014年12月1日,"16,319,414",3 5 4
2014年12月2日,"16,361,178",5 4 3
2014年12月3日,"15,520,868",3 5 9
2014年12月4日,"16,475,766",7 8 0
2014年12月5日,"16,907,584",7 1 3
2014年12月6日,"16,124,232",6 6 6
2014年12月7日,"13,989,972",6 9 5
2014年12月8日,"15,954,962",3 9 4
2014年12月9日,"15,889,204",9 0 1
2014年12月10日,"16,293,070",7 5 3
2014年12月11日,"16,665,624",6 6 2
2014年12月12日,"16,144,950",3 9 8
2014年12月13日,"15,418,242",5 8 9
2014年12月14日,"16,514,588",1 2 9
2014年12月15日,"16,304,806",7 1 1
2014年12月16日,"15,764,754",9 7 6
2014年12月17日,"15,223,060",6 8 7
2014年12月18日,"15,528,112",0 9 7
2014年12月19日,"16,102,912",5 1 2
2014年12月20日,"15,216,248",2 0 4
2014年12月21日,"15,199,940",9 8 2
2014年12月22日,"15,895,114",1 6 8
2014年12月23日,"16,422,666",6 6 1
2014年12月24日,"15,362,414",2 6 6
2014年12月25日,"15,547,734",6 8 8
2014年12月26日,"16,290,440",0 6 0
2014年12月27日,"14,961,578",3 5 5
2014年12月28日,"15,359,524",0 6 9
2014年12月29日,"16,300,882",9 5 0
2014年12月30日,"16,057,868",7 8 6
2014年12月31日,"15,826,056",3 6 2
2015年1月1日,"14,254,282",3 9 7
2015年1月2日,"15,136,816",7 4 9
2015年1月3日,"15,035,672",5 2 4
2015年1月4日,"16,314,932",1 4 2
2015年1月5日,"16,185,960",6 9 3
2015年1月6日,"16,460,050",9 4 7
2015年1月7日,"16,956,628",0 3 9
2015年1月8日,"16,862,714",6 1 3
2015年1月9日,"17,454,596",5 7 4
2015年1月10日,"16,582,220",8 6 2
2015年1月11日,"17,172,738",3 1 8
2015年1月12日,"17,842,960",8 6 4
2015年1月13日,"17,971,846",4 1 2
2015年1月14日,"17,497,426",4 0 3
2015年1月15日,"17,366,460",8 4 5
2015年1月16日,"17,737,796",2 9 0
2015年1月17日,"17,193,552",8 8 0
2015年1月18日,"15,318,378",8 3 1
2015年1月19日,"15,841,792",9 1 4
